category,room_count,bathroom_count,size,type,price,city,region,log_price
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,100000.0,Ariana,Raoued,5.0
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,316000.0,Ariana,Autres villes,5.4996870826184034
Appartements,2.0,1.0,80.0,À Louer,380.0,Ariana,Autres villes,2.57978359661681
Locations de vacances,1.0,1.0,90.0,À Louer,70.0,Ariana,Autres villes,1.845098040014257
Appartements,2.0,2.0,113.0,À Vendre,170000.0,Ariana,Ariana Ville,5.230448921378274
Locations de vacances,1.0,1.0,70.0,À Louer,80.0,Ariana,Autres villes,1.9030899869919435
Appartements,2.0,1.0,100.0,À Louer,670.0,Ariana,Borj Louzir,2.8260748027008264
"Magasins, Commerces et Locaux industriels",2.0,1.0,20.0,À Louer,650.0,Ariana,Borj Louzir,2.8129133566428557
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,180000.0,Ariana,Autres villes,5.2552725051033065
"Magasins, Commerces et Locaux industriels",1.0,1.0,40.0,À Louer,450.0,Ariana,Ariana Ville,2.6532125137753435
Maisons et Villas,4.0,2.0,1208.0,À Vendre,700000.0,Ariana,La Soukra,5.845098040014257
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,600000.0,Ariana,La Soukra,5.778151250383644
Maisons et Villas,5.0,3.0,220.0,À Louer,2000.0,Ariana,Chotrana,3.3010299956639813
Appartements,3.0,2.0,138.0,À Vendre,340000.0,Ariana,Jardins D'el Menzah,5.531478917042255
Maisons et Villas,2.0,1.0,150.0,À Vendre,120000.0,Ariana,Raoued,5.079181246047625
Appartements,3.0,1.0,180.0,À Louer,300.0,Ariana,Borj Louzir,2.4771212547196626
Appartements,3.0,1.0,250.0,À Louer,500.0,Ariana,Ariana Ville,2.6989700043360187
Terrains et Fermes,-1.0,-1.0,-1.0,À Vendre,350000.0,Ariana,Sidi Thabet,5.544068044350276
Appartements,2.0,1.0,80.0,À Vendre,230000.0,Ariana,Ennasr,5.361727836017593
"Magasins, Commerces et Locaux industriels",1.0,1.0,20.0,À Vendre,55000.0,Ariana,Borj Louzir,4.740362689494244
Appartements,2.0,1.0,80.0,À Louer,400.0,Ariana,Ghazela,2.6020599913279625
Appartements,4.0,2.0,200.0,À Vendre,440000.0,Ariana,Ennasr,5.643452676486188
Maisons et Villas,4.0,2.0,130.0,À Vendre,125000.0,Ariana,Autres villes,5.096910013008056
Maisons et Villas,2.0,1.0,150.0,À Vendre,170000.0,Ariana,Ghazela,5.230448921378274
Appartements,4.0,1.0,160.0,À Vendre,310000.0,Ariana,Autres villes,5.491361693834273
Appartements,2.0,1.0,89.0,À Vendre,136000.0,Ariana,Borj Louzir,5.133538908370218
Appartements,2.0,1.0,94.0,À Vendre,185000.0,Ariana,La Soukra,5.267171728403014
