location,category,chambres,salles_de_bains,superficie,type_de_transaction,date,price
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,100.0
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,316000.0
"Ariana, Autres villes",Locations de vacances,3.0,80.0,,À Louer,7 février 2020,70.0
"Ariana, Autres villes",Appartements,2.0,1.0,900.0,À Louer,7 février 2020,80.0
"Ariana, Autres villes",Locations de vacances,1.0,1.0,900.0,À Louer,7 février 2020,70.0
"Ariana, Autres villes",Appartements,2.0,1.0,80.0,À Louer,7 février 2020,380.0
"Ariana, Autres villes",Locations de vacances,1.0,1.0,90.0,À Louer,7 février 2020,70.0
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1.0,0.0,14.0,À Vendre,7 février 2020,30000.0
"Ariana, Ariana Ville",Appartements,2.0,2.0,113.0,À Vendre,7 février 2020,170.0
"Ariana, Autres villes",Locations de vacances,1.0,1.0,70.0,À Louer,7 février 2020,80.0
"Ariana, Ariana",Appartements,3.0,4.0,220.0,À Louer,7 février 2020,1950.0
"Ariana, Borj Louzir",Appartements,2.0,1.0,100.0,À Louer,7 février 2020,670.0
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",2.0,1.0,20.0,À Louer,7 février 2020,650.0
"Ariana, La Soukra",Appartements,3.0,220.0,,À Vendre,7 février 2020,580000.0
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,180.0
"Ariana, Ariana Ville","Magasins, Commerces et Locaux industriels",1.0,1.0,40.0,À Louer,7 février 2020,450.0
"Ariana, La Soukra",Appartements,2.0,1.0,1.0,À Louer,7 février 2020,2200.0
"Ariana, La Soukra",Maisons et Villas,4.0,2.0,1208.0,À Vendre,7 février 2020,700000.0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,600.0
"Ariana, Chotrana",Maisons et Villas,5.0,3.0,220.0,À Louer,7 février 2020,2000.0
"Ariana, Jardins D'el Menzah",Appartements,3.0,2.0,138.0,À Vendre,7 février 2020,340000.0
"Ariana, Raoued",Maisons et Villas,2.0,1.0,150.0,À Vendre,7 février 2020,120000.0
"Ariana, Borj Louzir",Appartements,3.0,1.0,180.0,À Louer,7 février 2020,300.0
"Ariana, Ennasr",Appartements,4.0,180.0,,À Vendre,7 février 2020,285000.0
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",1.0,13.0,,À Louer,7 février 2020,13.0
"Ariana, Ariana Ville",Appartements,3.0,1.0,250.0,À Louer,7 février 2020,500.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,350000.0
"Ariana, Ennasr",Appartements,2.0,1.0,80.0,À Vendre,7 février 2020,230000.0
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",1.0,1.0,20.0,À Vendre,7 février 2020,55000.0
"Ariana, Ghazela",Appartements,2.0,1.0,80.0,À Louer,7 février 2020,400.0
"Ariana, Ennasr",Appartements,4.0,2.0,200.0,À Vendre,7 février 2020,440000.0
"Ariana, Autres villes",Maisons et Villas,4.0,2.0,130.0,À Vendre,7 février 2020,125000.0
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",1.0,100.0,,À Vendre,7 février 2020,90000.0
"Ariana, Ghazela",Maisons et Villas,2.0,1.0,150.0,À Vendre,7 février 2020,170000.0
"Ariana, Autres villes",Appartements,4.0,1.0,160.0,À Vendre,7 février 2020,310000.0
